通しNo,フォルダ名,音声No,セリフ
118,16_呆れ,1,呆れた！
119,16_呆れ,2,きみには呆れたわ…
120,16_呆れ,3,ポカ～ン…
121,16_呆れ,4,も～！
122,17_諦め,1,やめた！
123,17_諦め,2,もうやめた！
124,17_諦め,3,やってられへん…
125,17_諦め,4,や～め～た～！
126,17_諦め,5,もうやってられへんっ！
127,17_諦め,6,ガクッ…
128,17_諦め,7,ゲーム…オーバー…
129,17_諦め,8,ゲームオーバーやと！？
130,17_諦め,9,はいムリー！
131,18_驚き,1,エエエエエエ！？
132,18_驚き,2,え～…
133,18_驚き,3,えっ！？
134,19_自慢,1,ドヤァ…
135,19_自慢,1-1,ドヤァ…
136,19_自慢,2,エッヘン！
137,19_自慢,3,どう？
138,19_自慢,4,みたか！
139,19_自慢,5,どうや！
140,19_自慢,6,えらい？
141,19_自慢,7,えらいやろ？
142,19_自慢,8,すごい？
143,19_自慢,9,すごいやろ？
144,19_自慢,10,ジャ～ン！
145,20_復活,1,復活！
146,20_復活,2,復活？
147,20_復活,3,ふっか～つ！
148,20_復活,4,リセット！
149,20_復活,5,リセ～ットッ！
150,20_復活,6,リセット？
151,21_開始,1,はじめっ！
152,21_開始,2,スタート！
153,21_開始,3,スタ～トッ！
154,21_開始,4,スタート？
155,22_停止,1,ストップ！
156,22_停止,2,スト～ップッ！
157,22_停止,3,ストップ？
158,22_停止,4,ストップ！ストップ！！
159,22_停止,5,待って！
160,22_停止,6,ま～て～！
161,23_発見,1,見つけた！
162,23_発見,2,み～つけたっ！
163,23_発見,3,み～っけ！
164,23_発見,4,見つかった！
165,23_発見,5,発見！
166,23_発見,6,は～っけ～ん！
167,23_発見,7,おるやん！
168,23_発見,7-1,おるやんけ！
169,23_発見,8,おらんやん
170,23_発見,8-1,おらんやんけ！
171,24_終了,1,終了！
172,24_終了,2,しゅ～りょ～！
173,24_終了,3,タイムアップ！
174,24_終了,4,タ～イムア～ップ！
175,24_終了,5,おしまい！
176,24_終了,6,おっしまいっ♪
177,24_終了,7,お・し・ま・い・です！！
178,24_終了,8,フィニーッシュ！！
179,24_終了,9,結果発表～！！
180,24_終了,10,オワタ
181,25_創作系,1-1,進捗どう？
182,25_創作系,1-1,進捗どうですか？
183,25_創作系,2,進捗あきません
184,25_創作系,2-1,進捗あきません
185,25_創作系,3,脱稿しました
186,25_創作系,3-1,脱稿しました
187,25_創作系,4,全然わからん
188,25_創作系,5,ウチもやったんやからさ
189,25_創作系,6,ウチはもう次のタスクに取り掛かってるけど…アンタは？
190,25_創作系,7,もっと…もっと作るんやで！！！！
191,25_創作系,8,投稿できて偉いな～
192,25_創作系,9,それはアンタが作るねん！！
193,25_創作系,10,言い出しっぺの法則！
194,25_創作系,11,やってくれるって！！！
195,25_創作系,12,コントロールS！コントロールSを押すねん！早く！
196,25_創作系,13,曲ができてん！
197,25_創作系,14,絵が描けてん！
198,25_創作系,15,アプリができてん！
199,25_創作系,16,ゲームができてん！
200,25_創作系,17,動画ができてん！
201,25_創作系,18,歌ができてん！
202,25_創作系,19,ノルマ達成や！
203,25_創作系,20,わからへん…なんもわからへん…
204,25_創作系,21,分からない…何もわからんよ…
205,25_創作系,22,完全に理解した
206,25_創作系,23,うちは〆切を守れませんでした
207,26_セーブ関連,1,セーブ中やで。
208,27_汎用型,1,よい…しょっと
209,27_汎用型,2,正解！
210,27_汎用型,3,せ～かいっ！
211,27_汎用型,4,やったな！
212,27_汎用型,5,不正解！
213,27_汎用型,6,ぶっぶー！
214,27_汎用型,7,残念！
215,27_汎用型,8,残…念…
216,27_汎用型,9,アウトオオオオオ！
217,27_汎用型,10,ほなね
218,27_汎用型,11,ほなな～
219,27_汎用型,12,よろしく！
220,27_汎用型,13,よ～ろ～し～く～な！
221,27_汎用型,14,よ・ろ・し・く・な！！
222,27_汎用型,15,いらっしゃい！
223,27_汎用型,16,いらっしゃ～い！
224,27_汎用型,17,がんばれがんばれ♪
225,27_汎用型,18,なんやて！？
226,27_汎用型,19,ＣＭやで～
227,27_汎用型,20,えぇ？何してるんですか…
228,27_汎用型,21,何したはるんですか…
229,27_汎用型,22,いやそうはならんやろ！
230,27_汎用型,23,なっとるやろ！
231,27_汎用型,23-1,なっとるやろがい！
232,27_汎用型,24,なっとるやん！
233,27_汎用型,24-1,なっとるやんけ！
234,27_汎用型,25,ウッソやろお前
235,27_汎用型,26,あっつ…
236,27_汎用型,27,あっつ！！
237,27_汎用型,28,因果応報
238,27_汎用型,29,閑話休題
239,27_汎用型,30,とっぴんぱらりのぷぅ
240,27_汎用型,31,それはさておき
241,27_汎用型,31-1,それはおいといて
242,27_汎用型,32,この始末。
243,27_汎用型,32-1,この始末。
244,27_汎用型,33,ハイカット～
245,27_汎用型,33-1,ハイカット～
246,27_汎用型,34,ノーカン！ノーカン！
247,27_汎用型,35,はじまりはじまり
248,28_煽り,1,行っくでーー？
249,28_煽り,2,行っくでーー？
250,28_煽り,3,いっけ～！
251,28_煽り,4,いっけ～！
252,28_煽り,5,まだまだいくで～！
253,28_煽り,6,まだまだいくで～！
254,28_煽り,7,サンキュー！
255,28_煽り,8,サンキュー！
256,28_煽り,9,ありがと～う！
257,28_煽り,10,ありがと～う！
258,28_煽り,11,カモン！
259,28_煽り,12,カモン！
260,28_煽り,13,カモ～ン！
261,28_煽り,14,カモ～ン！
262,28_煽り,15,フウッフウッ！
263,28_煽り,16,フウッフウッ！
264,28_煽り,17,フ～！
265,28_煽り,18,フ～！
266,28_煽り,19,レッツゴ～！
267,28_煽り,20,レッツゴ～！
268,28_煽り,21,ぅぅぅうやったぁ↑
269,28_煽り,22,ぅぅぅうやったぁ↑
270,28_煽り,23,ぃぃよっっっしゃあ↑↑
271,28_煽り,24,ぃぃよっっっしゃあ↑↑
272,28_煽り,25,いっせーのーせ！
273,28_煽り,26,いっせーのーせ！
274,28_煽り,27,せーの！
275,28_煽り,28,せーの！
276,28_煽り,29,私達の歌を聞け―！
277,28_煽り,30,私達の歌を聞け―！
278,28_煽り,31,聴いてください！
279,28_煽り,31-1,聴いてください！
280,28_煽り,32,聴いてください！
281,28_煽り,32-1,聴いてください！
282,28_煽り,33,聴いてください！
283,28_煽り,33-1,聴いてください！
284,28_煽り,34,聴いて～！
285,28_煽り,35,聴いて～！
286,28_煽り,36,みんな～！
287,28_煽り,37,みんな～！
288,28_煽り,38,今日の最初の曲です！
289,28_煽り,39,今日の最初の曲です！
290,28_煽り,40,今日の最後の曲です！
291,28_煽り,41,今日の最後の曲です！
292,28_煽り,42,最後はこの曲！
293,28_煽り,43,最後はこの曲！
294,28_煽り,44,最後はこれ！
295,28_煽り,45,最後はこれ！
296,28_煽り,46,はい拍手ー！！
297,28_煽り,47,はい拍手ー！！
298,28_煽り,48,みんな手を挙げてー！！
299,28_煽り,49,みんな手を挙げてー！！
300,29_呼びかけ,1,葵！
301,29_呼びかけ,2,葵！
