通しNo,フォルダ名,音声No,セリフ
116,15_失敗,8,あ～あ～…
117,15_失敗,9,い“ったぁ！！
118,15_失敗,10,うわーーーん！！もうやだーーー！！！
119,15_失敗,11,ダメエエエエ！！
120,16_呆れ,1,呆れた！
121,16_呆れ,2,きみには呆れたよ…
122,16_呆れ,3,ポカ～ン…
123,16_呆れ,4,も～！
124,17_諦め,1,やめた！
125,17_諦め,2,もうやめた！
126,17_諦め,3,やってられない…
127,17_諦め,4,や～め～た～！
128,17_諦め,5,もうやってられないっ！
129,17_諦め,6,ガクッ…
130,17_諦め,7,ゲーム…オーバー…
131,17_諦め,8,ゲームオーバーだと！？
132,17_諦め,9,はいムリー！
133,18_驚き,1,エエエエエエ！？
134,18_驚き,2,え～…
135,18_驚き,3,えっ！？
136,19_自慢,1,ドヤァ…
137,19_自慢,1-1,ドヤァ…
138,19_自慢,2,エッヘン！
139,19_自慢,3,どう？
140,19_自慢,4,みたか！
141,19_自慢,5,どうだ！
142,19_自慢,6,えらい？
143,19_自慢,7,えらいでしょ？
144,19_自慢,8,すごい？
145,19_自慢,9,すごいでしょ？
146,19_自慢,10,ジャ～ン！
147,20_復活,1,復活！
148,20_復活,2,復活？
149,20_復活,3,ふっか～つ！
150,20_復活,4,リセット！
151,20_復活,5,リセ～ットッ！
152,20_復活,6,リセット？
153,21_開始,1,はじめっ！
154,21_開始,2,スタート！
155,21_開始,3,スタ～トッ！
156,21_開始,4,スタート？
157,22_停止,1,ストップ！
158,22_停止,2,スト～ップッ！
159,22_停止,3,ストップ？
160,22_停止,4,ストップ！ストップ！！
161,22_停止,5,待って！
162,22_停止,6,ま～て～！
163,23_発見,1,見つけた！
164,23_発見,2,み～つけたっ！
165,23_発見,3,み～っけ！
166,23_発見,4,見つかった！
167,23_発見,5,発見！
168,23_発見,6,は～っけ～ん！
169,24_終了,1,終了！
170,24_終了,2,しゅ～りょ～！
171,24_終了,3,タイムアップ！
172,24_終了,4,タ～イムア～ップ！
173,24_終了,5,おしまい！
174,24_終了,6,おっしまいっ♪
175,24_終了,7,お・し・ま・い・です！！
176,24_終了,8,フィニーッシュ！！
177,24_終了,9,結果発表～！！
178,24_終了,10,オワタ
179,25_創作系,1,進捗どうですか？
180,25_創作系,2,進捗ダメです
181,25_創作系,2-1,進捗ダメです
182,25_創作系,3,脱稿しました
183,25_創作系,3-1,脱稿しました
184,25_創作系,4,全然わからない
185,25_創作系,5,私もやったんだからさ
186,25_創作系,6,私はもう次のタスクに取り掛かってるけど…キミは？
187,25_創作系,7,もっと…もっと作るんだよ！！！！
188,25_創作系,8,投稿できて偉いね～
189,25_創作系,9,それはお前が作るんだよ！！
190,25_創作系,10,言い出しっぺの法則！
191,25_創作系,11,やってくれるって！！！
192,25_創作系,12,コントロールS！コントロールSを押すの！早く！
193,25_創作系,13,曲ができました！
194,25_創作系,14,絵が描けました！
195,25_創作系,15,アプリができました！
196,25_創作系,16,ゲームができました！
197,25_創作系,17,動画ができました！
198,25_創作系,18,歌ができました！
199,25_創作系,19,ノルマ達成です！
200,25_創作系,20,わからない…なにもわからない…
201,25_創作系,21,分からない…何もわからないよ…
202,25_創作系,22,完全に理解した
203,25_創作系,23,私は〆切を守れませんでした
204,26_セーブ関連,1,セーブ中だよ。
205,27_汎用型,1,よい…しょっと
206,27_汎用型,2,正解！
207,27_汎用型,3,せ～かいっ！
208,27_汎用型,4,やったね！
209,27_汎用型,5,不正解！
210,27_汎用型,6,ぶっぶー！
211,27_汎用型,7,残念！
212,27_汎用型,8,残…念…
213,27_汎用型,9,アウトオオオオオ！
214,27_汎用型,10,またね！
215,27_汎用型,11,まったね～！
216,27_汎用型,12,よろしく！
217,27_汎用型,13,よ～ろ～し～く～ねっ！
218,27_汎用型,14,よ・ろ・し・く・ね！！
219,27_汎用型,15,いらっしゃい！
220,27_汎用型,16,いらっしゃ～い！
221,27_汎用型,17,がんばれがんばれ♪
222,27_汎用型,18,ＣＭはいりま～す
223,27_汎用型,19,え？何してるんですか…
224,27_汎用型,20,何してるんですか！？
225,27_汎用型,21,ウッソでしょ
226,27_汎用型,22,あっつ…
227,27_汎用型,23,あっつ！！
228,27_汎用型,24,因果応報
229,27_汎用型,25,閑話休題
230,27_汎用型,25-1,閑話休題
231,27_汎用型,26,とっぴんぱらりのぷぅ
232,27_汎用型,27,それはさておき
233,27_汎用型,28,この始末。
234,27_汎用型,29,ハイカット～
235,27_汎用型,30,ノーカン！ノーカン！
236,27_汎用型,31,はじまりはじまり
237,27_汎用型,32,なぜ角を取らない！
238,28_煽り,1,いっくよ～！
239,28_煽り,2,いっくよ～！
240,28_煽り,3,いっけ～！
241,28_煽り,4,いっけ～！
242,28_煽り,5,まだまだいくよ～！
243,28_煽り,6,まだまだいくよ～！
244,28_煽り,7,サンキュー！
245,28_煽り,8,サンキュー！
246,28_煽り,9,ありがと～う！
247,28_煽り,10,ありがと～う！
248,28_煽り,11,カモン！
249,28_煽り,12,カモン！
250,28_煽り,13,カモ～ン！
251,28_煽り,14,カモ～ン！
252,28_煽り,15,フウッフウッ！
253,28_煽り,16,フウッフウッ！
254,28_煽り,17,フ～！
255,28_煽り,18,フ～！
256,28_煽り,19,レッツゴ～！
257,28_煽り,20,レッツゴ～！
258,28_煽り,21,ぅぅぅうやったぁ↑
259,28_煽り,22,ぅぅぅうやったぁ↑
260,28_煽り,23,ぃぃよっっっしゃあ↑↑
261,28_煽り,24,ぃぃよっっっしゃあ↑↑
262,28_煽り,25,いっせーのーで！
263,28_煽り,26,いっせーのーで！
264,28_煽り,27,せーの！
265,28_煽り,28,せーの！
266,28_煽り,29,せーの！私達の歌を聞け―！
267,28_煽り,30,せーの！私達の歌を聞け―！
268,28_煽り,31,聴いてください！
269,28_煽り,31-1,聴いてください！
270,28_煽り,32,聴いてください！
271,28_煽り,33,聴いて～！
272,28_煽り,34,聴いて～！
273,28_煽り,35,みんな～！
274,28_煽り,36,みんな～！
275,28_煽り,37,今日の最初の曲です！
276,28_煽り,38,今日の最初の曲です！
277,28_煽り,39,今日の最後の曲です！
278,28_煽り,40,今日の最後の曲です！
279,28_煽り,41,最後はこの曲！
280,28_煽り,42,最後はこの曲！
281,28_煽り,43,最後はこれ！
282,28_煽り,44,最後はこれ！
283,28_煽り,45,はい拍手ー！！
284,28_煽り,46,はい拍手ー！！
285,28_煽り,47,みんな手を挙げてー！！
286,28_煽り,48,みんな手を挙げてー！！
287,29_呼びかけ,1,お姉ちゃん！
288,29_呼びかけ,2,お姉ちゃん！
